Country,Official language,Regional language,Minority language,National language,Widely spoken
Abkhazia,"['Abkhaz', 'Russian']",[''],['Georgian'],['Abkhaz'],['']
Afghanistan,"['Pashto', 'Dari']","['Uzbek', 'Turkmen', 'Pashai', 'Nuristani', 'Balochi', 'Pamiri']",[''],[''],['']
Albania,['Albanian'],[''],"['Greek', 'Macedonian', 'Aromanian']",[''],['Italian']
Algeria,"['Arabic', 'Tamazight']",[''],[''],"['Arabic', 'Tamazight']",['French']
Andorra,['Catalan'],[''],"['Spanish', 'French', 'Portuguese']",[''],['']
Angola,['Portuguese'],[''],[''],"['Kimbundu', 'Umbundu', 'Kikongo', 'Chokwe', 'Kwanyama', 'Ganguela']",['']
Antigua and Barbuda,['English'],[''],[''],[''],['']
Argentina,['Spanish'],"['Spanish (in Corrientes and Chaco)', 'Guaraní (in Corrientes)', 'Kom (in Chaco)', 'Moquoit (in Chaco)', 'Wichi (in Chaco)']",[''],[''],['']
Armenia,['Armenian'],[''],[''],['Armenian (state language)'],['']
Artsakh,['Armenian'],[''],[''],[''],['']
Australia,['English'],[''],[''],[''],['']
Austria,['German'],"['Croatian (parts of Burgenland)', 'Hungarian (parts of Burgenland)', 'Slovene (parts of Carinthia)']","['Slovene', 'Czech', 'Hungarian', 'Slovak', 'Romani', 'Serbian']",['German (state language)'],['']
Azerbaijan,['Azerbaijani'],[''],[''],['Azerbaijani (state language)'],['']
Bahamas,['English'],[''],[''],[''],['']
Bahrain,['Arabic'],[''],[''],[''],['']
Bangladesh,['Bengali'],[''],[''],['Bengali'],['']
Barbados,['English'],[''],[''],[''],['']
Belarus,"['Belarusian', 'Russian']",[''],[''],[''],['']
Belgium,['Dutch French German'],"['Dutch (Flanders Brussels)', 'French (Brussels Wallonia)', 'German (German-speaking community)']",[''],[''],['']
Belize,['English'],['Spanish (border with Mexico and Guatemala)'],[''],[''],['Kriol']
Benin,['French'],[''],[''],[''],['']
Bhutan,['Dzongkha'],[''],[''],[''],['']
Bolivia,['Castilian'],[''],[''],[''],['']
Bosnia and Herzegovina,"['Bosnian ', 'Croatian ', 'Serbian']",[''],[''],[''],['']
Botswana,"['English', 'Tswana']",[''],[''],['Tswana'],['']
Brazil,['Portuguese'],"['German (in Pomerode)', 'East Pomeranian (in Pancas Santa Maria de Jetibá Domingos Martins Itarana Laranja da Terra Vila Pavão and Canguçu)', 'Riograndenser Hunsrückisch (in Antônio Carlos Santa Catarina and in Santa Maria do Herval Rio Grande do Sul)', 'Talian (in Bento Gonçalves Caxias do Sul Flores da Cunha Nova Roma do Sul and Serafina Corréa)', 'Nheengatu Baniwa Tucano (in Sào Gabriel de Cachoeira Amazonas)', 'Guaraní (in Tacuru Mato Grosso do Sul)']",[''],['Portuguese'],['']
Brunei,"['Malay', 'English']",[''],[''],[''],['']
Bulgaria,['Bulgarian'],[''],[''],[''],['']
Burkina Faso,['French'],[''],[''],"['Fula', 'Jula', 'More']",['']
Burundi,"['French', 'Kirundi', 'English']",[''],[''],['Kirundi'],['Swahili']
Cambodia,['Khmer'],[''],[''],[''],['']
Cameroon,"['English', 'French']",[''],[''],[''],['']
Canada,"['English ', 'French']","['Chipewyan (Northwest Territories)', 'Cree (Northwest Territories)', ""Gwich'in (Northwest Territories)"", 'Inuinnaqtun (Northwest Territories and Nunavut)', 'Inuktitut (Northwest Territories and Nunavut)', 'Inuvialuktun (Northwest Territories)', 'North Slavey (Northwest Territories)', 'South Slavey (Northwest Territories)', 'Tłı̨chǫ (Northwest Territories)']","['Chipewyan', 'Cree', ""Gwich'in"", 'Inuinnaqtun', 'Inuktitut', 'Inuvialuktun', 'North Slavey', 'South Slavey', 'Tłı̨chǫ']",[''],['']
Cape Verde,['Portuguese'],[''],[''],['Cape Verdean Creole'],['']
Central African Republic,['French'],[''],['Sango'],[''],['']
Chad,"['Arabic', 'French']",[''],[''],[''],['']
Chile,['Spanish'],['(Languages of ethnic groups are official in their territories)'],[''],[''],['']
China,['Mandarin'],"['Cantonese (de facto in \xa0Hong Kong and \xa0Macau)', '(46 other languages)']",[''],[''],['']
Colombia,['Spanish'],['(Languages of ethnic groups are official in their territories)'],[''],[''],['']
Comoros,"['Arabic', 'Comorian', 'French']",[''],[''],[''],['']
Democratic Republic of the Congo,['French'],[''],"['Lingala', 'Kikongo']","['Swahili', 'Tshiluba']",['']
Republic of the Congo,['French'],[''],"['Lingala', 'Munukutuba']",[''],['']
Costa Rica,['Spanish'],[''],[''],[''],['']
Croatia,['Croatian'],"['Serbian', 'Hungarian', 'Czech', 'Slovak', 'Pannonian Rusyn', 'Istro-Romanian (protected[clarification needed])']",[''],"['Italian (Istria County)', 'Romani (non-territorial)', 'Slovene (non-territorial)']",['']
Cuba,['Spanish'],[''],[''],[''],['']
Cyprus,"['Greek', 'Turkish']",[''],[''],"['Armenian', 'Cypriot Arabic']",['English']
Czech Republic,"['Czech', 'Slovak']",[''],[''],"['Belarusian', 'Bulgarian', 'Croatian', 'German', 'Greek', 'Hungarian', 'Polish', 'Romani', 'Russian', 'Rusyn', 'Serbian', 'Ukrainian', 'Vietnamese']",['']
Denmark,['Danish'],"['Faroese (in the Faroe Islands)', 'Kalaallisut (in Greenland)']",['German (in Southern Jutland)'],[''],['']
Djibouti,"['Arabic', 'French']",[''],[''],[''],['']
Dominica,['English'],[''],[''],[''],['']
Dominican Republic,['Spanish'],[''],[''],[''],['']
East Timor,"['Portuguese', 'Tetum']",[''],[''],[''],['']
Ecuador,"['Spanish', 'Quechua']",[''],"['Kichwa (official minority language)', 'Shuar (official minority language)']",[''],['']
Egypt,['Arabic'],[''],['Coptic'],['Egyptian Language'],['Egyptian Arabic']
El Salvador,['Spanish'],[''],[''],[''],['']
Equatorial Guinea,"['French', 'Portuguese', 'Spanish']",[''],[''],[''],['']
Eritrea,['Tigrinya'],[''],[''],[''],"['Arabic', 'Italian']"
Estonia,['Estonian'],[''],[''],[''],['']
Eswatini,"['English', 'Swazi']",[''],[''],[''],['']
Ethiopia,['Amharic'],[''],[''],[''],"['Oromo', 'Somali', 'Tigrinya', 'Afar', 'Sidamo', 'Kunama', 'Benshangul', 'Gumuz', 'English', 'Harari']"
Fiji,"['English', 'Fijian', 'Fiji Hindi']",[''],[''],[''],['']
Finland,"['Finnish', 'Swedish']",[''],['Sami (in Enontekiö Inari Sodankylä Utsjoki)'],"['Finnish', 'Swedish']",['']
France,['French'],[''],[''],[''],['']
Gabon,['French'],[''],[''],[''],['']
Gambia,['English'],[''],[''],[''],['']
Georgia,['Georgian'],[''],[''],[''],['']
Germany,['German'],"['Danish (in Schleswig-Holstein)', 'Lower Sorbian (in Brandenburg)', 'North Frisian (in Schleswig-Holstein)', 'Saterland Frisian (in Lower Saxony)', 'Upper Sorbian (in Saxony)', 'German Sign Language', 'Low German']","['Danish', 'Lower Sorbian', 'North Frisian', 'Romani', 'Upper Sorbian']",[''],['']
Ghana,['English'],"['Fante', 'Asante Twi', 'Akuapem Twi', 'Adangme (in Greater Accra)', 'Dagaare (in the Upper West Region)', 'Dagbani (in the Northern Region)', 'Ewe (in the Volta Region)', 'Ga (in the Greater Accra)', 'Gonja (in the Northern Region)', 'Kasem (in the Upper East Region)', 'Nzema (in the Western Region)']",[''],[''],['']
Greece,['Greek'],[''],[''],[''],['']
Grenada,['English'],[''],[''],[''],['']
Guatemala,['Spanish'],[''],[''],[''],['']
Guinea,['French'],[''],[''],[''],"['Fula', 'Maninka', 'Susu']"
Guinea-Bissau,['Portuguese'],[''],[''],[''],['']
Guyana,['English'],[''],[''],[''],['Guyanese Creole']
Haiti,"['French', 'Haitian Creole']",[''],[''],[''],['']
Honduras,['Spanish'],"['Garifuna (on the Caribbean Coast)', 'English (in the Bay Islands)', 'Miskito (in Eastern Honduras)']",[''],[''],['']
Hong Kong China,"['Cantonese ', 'English']",[''],[''],[''],['Traditional Chinese']
Hungary,['Hungarian'],[''],"['Croatian', 'German', 'Romanian', 'Serbian', 'Slovak', 'Slovene']",[''],['']
Iceland,"['Icelandic', 'Icelandic Sign Language']",[''],[''],[''],['']
India,"['Hindi', 'English']",['(32 languages)'],[''],[''],['']
Indonesia,['Indonesian'],[''],[''],[''],"['Indonesian sign languages', 'Javanese', 'Sundanese', 'Madurese', 'Batak languages', 'Chinese', 'Minang', 'Aceh', 'Balinese', 'Buginese', 'Banjarese', 'English', '(700+ other languages)']"
Iran,['Persian'],"['Persian 53%', 'Azerbaijani and other Turkic dialects 18%', 'Kurdish 10%', 'Gilaki and Mazandarani 7%', 'Luri 6%', 'Arabic 2%', 'Balochi 2%', 'Other languages comprise 1% and include Tati Talysh Georgian Armenian Circassian Assyrian etc.']",[''],['Persian'],['Persian']
Iraq,['Arabic'],"['Armenian recognized', 'Assyrian Neo-Aramaic (in Assyrian areas)', 'Iraqi Turkmen (in Turkmen areas)', 'Kurdish']",[''],[''],['']
Ireland,"['English', 'Irish']",[''],[''],['Irish'],['']
Israel,['Hebrew'],['Arabic'],[''],[''],"['Russian', 'English']"
Italy,['Italian'],"['French (in Aosta Valley)', 'German (in South Tyrol)', 'Ladin (in South Tyrol)', 'Slovene (in Province of Trieste Province of Gorizia)', 'Albanian/Arbereshe (in Sicily and Calabria)']","['Ladin', 'Slovene']",[''],['']
Ivory Coast,['French'],[''],[''],[''],['']
Jamaica,['English'],[''],[''],['Jamaican Patois'],['']
Japan,['Japanese'],[''],[''],['Japanese'],['']
Jordan,['Arabic'],[''],[''],[''],['']
Kazakhstan,['Kazakh Russian'],[''],[''],['Kazakh'],['']
Kenya,['English'],[''],[''],['Swahili'],['']
Kiribati,['English'],[''],[''],['Kiribati'],['']
North Korea,['Korean'],[''],[''],[''],['']
South Korea,"['Korean', 'Korean Sign Language']",[''],[''],[''],['']
Kosovo,"['Albanian', 'Serbian']",['Turkish'],[''],"['Albanian (nationwide)', 'Serbian (Northern Kosovo)']",['']
Kuwait,['Standard Arabic'],[''],[''],"['Kuwaiti Sign Language', 'Kuwaiti Arabic', 'Kuwaiti Persian']",['']
Kyrgyzstan,['Kyrgyz Russian'],[''],[''],['Kyrgyz'],['']
Laos,['Lao'],[''],[''],[''],['']
Latvia,['Latvian'],[''],[''],[''],['']
Lebanon,['Arabic'],['Arabic'],['Armenian'],"['Arabic', 'English', 'French']","['Arabic', 'English', 'French']"
Lesotho,"['Sotho', 'English']",[''],[''],['Sotho'],['']
Liberia,['English'],[''],[''],[''],['']
Libya,['Arabic'],[''],[''],[''],['']
Liechtenstein,['German'],[''],[''],[''],['']
Lithuania,['Lithuanian'],[''],[''],[''],['']
Luxembourg,"['French', 'German', 'Luxembourgish']",[''],[''],['Luxembourgish'],['']
Macau China,"['Cantonese ', 'Portuguese']",[''],[''],[''],['Chinese']
Madagascar,"['French', 'Malagasy']",[''],[''],['Malagasy'],['']
Malawi,"['English', 'Chichewa']",[''],[''],['Chichewa'],['']
Malaysia,"['Malay', 'English']",['Regional/State dialects'],[''],['Malaysian'],"['Mandarin Chinese', 'Cantonese', 'Tamil']"
Maldives,['Dhivehi'],[''],[''],[''],['']
Mali,['French'],['Tamazight (Azawad district)'],[''],[''],['']
Malta,['English Maltese'],[''],[''],['Maltese'],['']
Sovereign Military Order of Malta,['Italian'],[''],[''],[''],['']
Marshall Islands,['English'],[''],[''],['Marshallese'],['']
Mauritania,['Arabic'],[''],[''],"['Arabic', 'Fula', 'Soninke', 'Wolof']",['French']
Mauritius,['English'],[''],[''],['French'],['']
Mexico,['Spanish'],[''],[''],[''],['']
Federated States of Micronesia,['Woleaian'],"['English (statewide except in Kosrae)', 'Chuukese (in Chuuk)', 'Kosraean (in Kosrae)']",[''],[''],['']
Moldova,['Romanian'],"['Gagauz', 'Russian', 'Ukrainian']",[''],[''],['']
Monaco,['French'],[''],[''],[''],['Monégasque']
Mongolia,['Mongolian'],[''],[''],[''],['']
Montenegro,"['Albanian ', 'Croatian ', 'Serbian']",['Bosnian (in the north)'],[''],['Montenegrin'],['Serbian']
Morocco,"['Arabic', 'Tamazight']",[''],[''],[''],['']
Mozambique,['Portuguese'],[''],[''],[''],['']
Myanmar (Burma),['Burmese'],"['Chin', 'Kachin', 'Karen', 'Karenni', 'Mon', 'Rakhine', 'Shan']",[''],[''],['']
Namibia[62],['English'],"['German', 'Oshiwambo']",[''],['Afrikaans'],['']
Nauru,"['English', 'Nauruan']",[''],[''],[''],['']
Nepal,['Nepali'],[''],[''],['all languages spoken as the mother tongue in Nepal'],['']
Netherlands,['Dutch'],"['West Frisian (in Friesland)', 'Papiamento (in Aruba Curaçao Bonaire)', 'English (in Sint Maarten Sint Eustatius Saba)', 'Limburgish', 'Low Saxon']",[''],[''],['']
New Zealand,"['English ', 'Maori', 'New Zealand Sign Language']",[''],[''],[''],['']
Nicaragua,['Spanish'],[''],[''],[''],['']
Niger,['French'],[''],[''],"['Arabic', 'Hausa', 'Fulfulde', 'Gulmancema', 'Kanuri', 'Zarma', 'Tamazight']",['']
Nigeria,['English'],[''],[''],"['Hausa', 'Yoruba', 'Igbo']",['']
North Macedonia,"['Macedonian', 'Albanian']",[''],[''],[''],['']
Northern Cyprus,['Turkish'],[''],[''],[''],['']
Norway,"['Norwegian', 'Sami']",['Northern Sami (in Kautokeino Karasjok Gáivuotna Kåfjord Nesseby Porsanger Tana Tysfjord)'],"['Kven', 'Scandoromani']","['Bokmål ', 'Nynorsk ', 'Sami']","['Bokmål ', 'Nynorsk ', 'Sami', 'Romani']"
Oman,['Arabic'],[''],[''],[''],['']
Pakistan,"['English', 'Urdu']",[''],[''],['Urdu'],"['Punjabi', 'Balochi', 'Sindhi', 'Pashto']"
Palau,"['English', 'Palauan']","['Sonsorolese (in Sonsorol)', 'Tobian (in Hatohobei)', 'Japanese (in Angaur)']",[''],[''],['']
Palestine,['Arabic'],[''],[''],[''],"['English', 'Hebrew']"
Panama,['Spanish'],[''],[''],[''],['']
Papua New Guinea,"['English', 'Hiri Motu', 'PNG Sign Language', 'Tok Pisin']",[''],[''],[''],['']
Paraguay,"['Spanish', 'Guaraní']",[''],[''],[''],['']
Peru,"['Spanish', 'Aymara', 'Quechua']",[''],[''],[''],['']
Philippines,"['English', 'Filipino', 'Filipino Sign Language']","['Aklanon (in the Visayas)', 'Bikol (in Luzon)', 'Cebuano (in the Visayas and Mindanao)', 'Ibanag (in Luzon)', 'Ilocano (in Luzon official in La Union))', 'Ivatan (in Luzon)', 'Kapampangan (in Luzon)', 'Kanaray-a (in the Visayas)', 'Maranao (in Mindanao)', 'Maginanao (in Mindanao)', 'Pangasinan (in Luzon)', 'Sambal (in Luzon)', 'Tagalog (in Luzon)', 'Tausug (in Mindanao)', 'Waray (in the Visayas)', 'Yakan (in Mindanao)']",['(+ over 100 more minority languages)'],['Filipino'],"['Spanish', 'Arabic']"
Poland,['Polish'],['Kashubian (Pomeranian Voivodeship)'],"['German (Opole Voivodeship)', 'Lithuanian (Puńsk commune)', 'Belarusian (Podlaskie Voivodseship)', 'Czech', 'Hebrew', 'Yiddish', 'Lemko', 'Karaim', 'Armenian', 'Romani', 'Russian', 'Slovak', 'Tatar', 'Ukrainian']",[''],['']
Portugal,['Portuguese'],['Mirandese (Miranda do Douro)'],[''],[''],['']
Qatar,['Arabic'],[''],[''],[''],['']
Romania,['Romanian'],"['Armenian', 'German', 'Hungarian', 'Romani', 'Serbian', 'Slovak', 'Turkish', 'Ukrainian']",[''],[''],['']
Russia,['Russian'],['(33 languages)'],[''],[''],['']
Rwanda,"['English', 'French', 'Kinyarwanda', 'Swahili']",[''],[''],[''],['']
Sahrawi Arab Democratic Republic,"['Tamazight', 'Arabic', 'Spanish']",[''],[''],[''],['']
Saint Kitts and Nevis,['English'],[''],[''],[''],['']
Saint Lucia,['English'],[''],[''],[''],['']
Saint Vincent and the Grenadines,['English'],[''],[''],[''],['']
Samoa,['English'],[''],[''],['Samoan'],['']
San Marino,['Italian'],[''],[''],[''],['']
São Tomé and Príncipe,['Portuguese'],[''],[''],[''],['']
Saudi Arabia,['Arabic'],[''],[''],[''],['']
Senegal,['French'],[''],[''],"['Jola-Fogny', 'Mandinka', 'Pulaar', 'Serer', 'Soninke', 'Wolof']",['']
Serbia,['Serbian'],[''],['(15 languages)'],[''],['']
Seychelles,"['English', 'French', 'Seychellois Creole']",[''],[''],[''],['']
Sierra Leone,['English'],[''],[''],['Krio'],['']
Singapore,"['English', 'Malay', 'Mandarin', 'Tamil']",[''],[''],['Malay'],['']
Slovakia,['Slovak'],[''],"['Bulgarian', 'Czech', 'German', 'Hungarian', 'Polish', 'Romani', 'Rusyn', 'Serbian', 'Ukrainian']",[''],['']
Slovenia,['Slovene'],[''],"['Hungarian (Dobrovnik Hodoš Lendava)', 'Italian (Izola Koper Piran)', 'Croatian (Metlika Brežice)']",[''],['']
Solomon Islands,['English'],[''],[''],[''],['']
Somalia,['Arabic'],[''],[''],['Somali'],['']
Somaliland,"['Arabic', 'English', 'Somali']",[''],[''],[''],['']
South Africa,"['Afrikaans', 'English', 'Southern Ndebele', 'Sotho', 'Northern Sotho', 'Swazi', 'Tsonga', 'Tswana', 'Venda', 'Xhosa', 'Zulu']",[''],[''],[''],['']
South Ossetia,"['Ossetian', 'Russian']",['Georgian'],['Georgian'],[''],['']
South Sudan,['English'],[''],[''],"['Arabic', 'Bari', 'Dinka', 'Luo', 'Murle', 'Nuer', 'Zande', '(60 other languages)']",['']
Spain,['Spanish'],"['Catalan (Balearic Islands Catalonia Valencia)', 'Galician (Galicia)', 'Occitan (Catalonia)', 'Basque (Basque Country Navarra)']","['Astur-Leonese (Asturias)', 'Aragonese (Aragon)', 'Fala (Province of Cáceres)', 'French', 'Portuguese']",[''],['']
Sri Lanka,"['Sinhala', 'Tamil']",[''],[''],[''],['']
Sudan,"['Arabic', 'English']",[''],[''],[''],['']
Suriname,['Dutch'],[''],[''],['Sranan Tongo'],['']
Sweden,['Swedish'],[''],"['Finnish (Gällivare Haparanda Kiruna Pajala Övertorneå', 'Meänkieli (Gällivare Haparanda Kiruna Pajala Övertorneå)', 'Sami (Arjeplog Gällivare Jokkmokk Kiruna)']",[''],"['Romani', 'Yiddish']"
Switzerland,"['French', 'German', 'Italian']",[''],[''],[''],['']
Syria,['Arabic'],['Kurdish'],[''],[''],['']
Taiwan,['Mandarin'],[''],[''],"['Formosan languages', 'Hakka', 'Mandarin', 'Taiwan Sign Language', 'Taiwanese Hokkien']",['Mandarin']
Tajikistan,['Tajik'],[''],[''],['Tajik'],['Russian']
Tanzania,['English'],[''],[''],['Swahili'],['']
Thailand,['Thai'],[''],[''],[''],['']
Togo,['French'],[''],[''],[''],['']
Tonga,['English'],[''],[''],['Tongan'],['']
Transnistria,"['Moldovan', 'Russian', 'Ukrainian']",[''],[''],[''],['']
Trinidad and Tobago,['English'],[''],[''],[''],['']
Tunisia,['Arabic'],[''],[''],['Arabic'],['']
Turkey,['Turkish'],[''],['Kurdish'],[''],['']
Turkmenistan,['Turkmen'],[''],[''],['Turkmen'],['Russian']
Tuvalu,['English'],[''],[''],['Tuvaluan'],['']
Uganda,"['English', 'Swahili']",[''],[''],[''],['']
Ukraine,['Ukrainian'],[''],[''],[''],['']
United Arab Emirates,['Arabic'],[''],[''],[''],['']
United Kingdom and Crown dependencies etc,['English'],"['Cornish (in Cornwall)', 'Irish and Ulster-Scots (in Northern Ireland)', 'Scots and Scottish Gaelic (in Scotland)', 'Welsh (in Wales)', 'Pitcairnese (in Pitcairn Islands)', 'Guernésiais and French (in Guernsey)', 'Jèrriais and French (in Jersey)', 'Manx (in Isle of Man)']",[''],[''],['']
United States,['English'],['(28 languages)'],[''],[''],['']
Uruguay,['Spanish'],[''],[''],[''],['']
Uzbekistan,['Uzbek'],[''],"['Uzbek', 'Karakalpak and Uzbek in Karakalpakstan']",[''],['']
Vanuatu,"['English', 'French']",[''],[''],['Bislama'],['']
Vatican City,['Italian'],[''],[''],[''],['']
Venezuela,"['Spanish', 'Venezuelan Sign Language']",[''],[''],[''],['']
Vietnam,[''],[''],[''],['Vietnamese'],['']
Yemen,['Arabic'],[''],[''],[''],['']
Zambia,['English'],[''],[''],[''],['']
Zimbabwe,"['Chewa', 'Chibarwe', 'English', 'Kalanga', 'Khoisan', 'Nambya', 'Ndau', 'Ndebele', 'Shangani', 'Shona', 'Sign language', 'Sotho', 'Tonga', 'Tswana', 'Venda', 'Xhosa']",[''],[''],[''],['']
